"","Species","green","grey","facultative","bothered","clusters"
"3","Accipiter nisus (Linnaeus, 1758)",1,0,0,0,1
"10","Buteo buteo (Linnaeus, 1758)",1,0,0,0,1
"15","Circus cyaneus (Linnaeus, 1766)",1,0,0,0,1
"34","Anas crecca Linnaeus, 1758",1,0,0,0,1
"35","Anas platyrhynchos Linnaeus, 1758",0,0,0,4,4
"37","Anser anser (Linnaeus, 1758)",1,0,0,0,1
"42","Aythya fuligula (Linnaeus, 1758)",0,0,0,4,4
"48","Bucephala clangula (Linnaeus, 1758)",1,0,0,0,1
"53","Cygnus olor (Gmelin, 1789)",0,0,0,4,4
"73","Apus apus (Linnaeus, 1758)",0,2,0,0,2
"80","Ciconia ciconia (Linnaeus, 1758)",1,0,0,0,1
"82","Columba livia Gmelin, 1789",0,0,3,0,3
"83","Columba oenas Linnaeus, 1758",1,0,0,0,1
"84","Columba palumbus Linnaeus, 1758",0,0,3,0,3
"87","Streptopelia decaocto (Frivaldszky, 1838)",0,2,0,0,2
"88","Streptopelia turtur (Linnaeus, 1758)",1,0,0,0,1
"89","Alcedo atthis (Linnaeus, 1758)",0,0,0,4,4
"95","Cuculus canorus Linnaeus, 1758",1,0,0,0,1
"98","Falco columbarius Linnaeus, 1758",1,0,0,0,1
"102","Falco peregrinus Tunstall, 1771",0,0,3,0,3
"105","Falco tinnunculus Linnaeus, 1758",0,0,3,0,3
"124","Phasianus colchicus Linnaeus, 1758",1,0,0,0,1
"135","Crex crex (Linnaeus, 1758)",1,0,0,0,1
"138","Gallinula chloropus (Linnaeus, 1758)",1,0,0,0,1
"141","Rallus aquaticus Linnaeus, 1758",0,0,0,4,4
"153","Haematopus ostralegus Linnaeus, 1758",0,0,0,4,4
"160","Pluvialis apricaria (Linnaeus, 1758)",0,0,0,4,4
"165","Vanellus vanellus (Linnaeus, 1758)",1,0,0,0,1
"172","Larus argentatus Pontoppidan, 1763",0,2,0,0,2
"175","Larus canus Linnaeus, 1758",0,0,0,4,4
"176","Larus fuscus Linnaeus, 1758",0,2,0,0,2
"181","Larus marinus Linnaeus, 1758",0,2,0,0,2
"184","Chroicocephalus ridibundus (Linnaeus, 1766)",0,0,0,4,4
"200","Calidris alpina (Linnaeus, 1758)",0,0,0,4,4
"208","Gallinago gallinago (Linnaeus, 1758)",0,0,0,4,4
"212","Limosa limosa (Linnaeus, 1758)",1,0,0,0,1
"213","Lymnocryptes minimus (Brunnich, 1764)",0,0,0,4,4
"214","Numenius arquata (Linnaeus, 1758)",1,0,0,0,1
"218","Scolopax rusticola Linnaeus, 1758",1,0,0,0,1
"224","Tringa totanus (Linnaeus, 1758)",1,0,0,0,1
"240","Acrocephalus schoenobaenus (Linnaeus, 1758)",1,0,0,0,1
"246","Aegithalos caudatus (Linnaeus, 1758)",1,0,0,0,1
"247","Alauda arvensis Linnaeus, 1758",1,0,0,0,1
"257","Bombycilla garrulus (Linnaeus, 1758)",1,0,0,0,1
"259","Plectrophenax nivalis (Linnaeus, 1758)",0,2,0,0,2
"261","Certhia familiaris Linnaeus, 1758",1,0,0,0,1
"264","Corvus corax Linnaeus, 1758",0,0,3,0,3
"265","Corvus cornix Linnaeus, 1758",0,0,3,0,3
"266","Corvus frugilegus Linnaeus, 1758",0,0,3,0,3
"267","Corvus monedula Linnaeus, 1758",0,0,3,0,3
"269","Garrulus glandarius (Linnaeus, 1758)",1,0,0,0,1
"272","Pica pica (Linnaeus, 1758)",0,0,3,0,3
"282","Emberiza citrinella Linnaeus, 1758",1,0,0,0,1
"289","Emberiza schoeniclus (Linnaeus, 1758)",0,0,0,4,4
"293","Acanthis flammea (Linnaeus, 1758)",1,0,0,0,1
"297","Carduelis carduelis (Linnaeus, 1758)",0,0,3,0,3
"302","Fringilla coelebs Linnaeus, 1758",0,0,3,0,3
"303","Fringilla montifringilla Linnaeus, 1758",1,0,0,0,1
"304","Chloris chloris (Linnaeus, 1758)",0,0,3,0,3
"305","Linaria cannabina (Linnaeus, 1758)",1,0,0,0,1
"306","Linaria flavirostris (Linnaeus, 1758)",1,0,0,0,1
"307","Loxia curvirostra Linnaeus, 1758",1,0,0,0,1
"313","Pyrrhula pyrrhula (Linnaeus, 1758)",1,0,0,0,1
"317","Spinus spinus (Linnaeus, 1758)",1,0,0,0,1
"319","Delichon urbicum (Linnaeus, 1758)",0,2,0,0,2
"320","Hirundo rustica Linnaeus, 1758",0,0,3,0,3
"322","Riparia riparia (Linnaeus, 1758)",0,0,0,4,4
"337","Anthus pratensis (Linnaeus, 1758)",1,0,0,0,1
"341","Motacilla alba Linnaeus, 1758",0,0,3,0,3
"342","Motacilla cinerea Tunstall, 1771",1,0,0,0,1
"348","Erithacus rubecula (Linnaeus, 1758)",1,0,0,0,1
"357","Muscicapa striata (Pallas, 1764)",0,0,3,0,3
"363","Oenanthe oenanthe (Linnaeus, 1758)",0,0,3,0,3
"366","Phoenicurus ochruros (S. G. Gmelin, 1774)",0,2,0,0,2
"368","Saxicola rubetra (Linnaeus, 1758)",1,0,0,0,1
"369","Saxicola torquatus (Linnaeus, 1766)",1,0,0,0,1
"373","Cyanistes caeruleus (Linnaeus, 1758)",0,0,3,0,3
"376","Parus major Linnaeus, 1758",0,0,3,0,3
"377","Periparus ater (Linnaeus, 1758)",1,0,0,0,1
"383","Passer domesticus (Linnaeus, 1758)",0,0,3,0,3
"386","Passer montanus (Linnaeus, 1758)",1,0,0,0,1
"390","Phylloscopus collybita (Vieillot, 1817)",1,0,0,0,1
"395","Phylloscopus trochilus (Linnaeus, 1758)",1,0,0,0,1
"398","Prunella modularis (Linnaeus, 1758)",1,0,0,0,1
"401","Regulus regulus (Linnaeus, 1758)",1,0,0,0,1
"413","Sturnus vulgaris Linnaeus, 1758",0,0,3,0,3
"414","Sylvia atricapilla (Linnaeus, 1758)",1,0,0,0,1
"417","Sylvia communis Latham, 1787",1,0,0,0,1
"427","Troglodytes troglodytes (Linnaeus, 1758)",1,0,0,0,1
"428","Turdus iliacus Linnaeus, 1758",1,0,0,0,1
"429","Turdus merula Linnaeus, 1758",0,0,3,0,3
"430","Turdus philomelos C. L. Brehm, 1831",0,0,3,0,3
"431","Turdus pilaris Linnaeus, 1758",1,0,0,0,1
"434","Turdus viscivorus Linnaeus, 1758",1,0,0,0,1
"437","Ardea cinerea Linnaeus, 1758",0,0,0,4,4
"442","Egretta garzetta (Linnaeus, 1766)",1,0,0,0,1
"465","Tachybaptus ruficollis (Pallas, 1764)",0,0,0,4,4
"485","Asio otus (Linnaeus, 1758)",1,0,0,0,1
"495","Tyto alba (Scopoli, 1769)",0,0,3,0,3
"498","Phalacrocorax carbo (Linnaeus, 1758)",0,0,0,4,4
